date,region,reason
1971-04-03,Chennai,Natural Calamity
2021-06-05,Hyderabad,Natural Calamity
2020-04-20,Bangalore,Health
1993-12-14,Ahmedabad,Natural Calamity
2017-09-26,Delhi,Election
2020-05-10,Delhi,Economy
1930-05-06,Delhi,Natural Calamity
2020-12-24,Mumbai,Economy
2020-04-09,Bangalore,Economy
2020-04-01,Delhi,Economy
2020-01-27,Pune,Health
2022-01-17,Bangalore,Natural Calamity
2019-02-19,Kolkata,Social Issues
2021-04-27,Delhi,Economy
2018-06-29,Chennai,Social Issues
2021-02-23,Hyderabad,Economy
2020-12-17,Pune,Economy
2020-08-06,Kolkata,Social Issues
2019-09-08,Bangalore,Economy
2020-09-11,Delhi,Election
2020-09-09,Bangalore,Social Issues
2022-07-17,Delhi,Health
2019-09-08,Delhi,Social Issues
2019-07-19,Pune,Economy
2022-05-17,Mumbai,Election
2021-05-03,Chennai,Social Issues
2021-04-21,Hyderabad,Health
2021-01-15,Mumbai,Social Issues
2022-08-23,Mumbai,Economy
2021-07-24,Bangalore,Economy
2018-05-19,Delhi,Economy
2020-07-13,Delhi,Health
2018-10-08,Hyderabad,Economy
2018-07-11,Bangalore,Health
2017-03-14,Delhi,Health
2019-05-01,Pune,Economy
2021-06-09,Hyderabad,Economy
1997-08-24,Kolkata,Economy
2020-07-15,Delhi,Economy
2021-02-08,Delhi,Election
2022-03-21,Delhi,Economy
2023-04-04,Ahmedabad,Election
2022-11-16,Hyderabad,Economy
2022-07-26,Lucknow,Economy
2021-05-13,Bangalore,Economy
2020-07-17,Delhi,Social Issues
2020-06-21,Mumbai,Economy
2022-03-29,Delhi,Natural Calamity
2013-04-18,Delhi,Economy
2017-02-01,Hyderabad,Natural Calamity
2020-05-14,Bangalore,Election
2020-01-02,Delhi,Economy
2018-07-11,Pune,Social Issues
2021-12-12,Ahmedabad,Health
1989-11-15,Hyderabad,Health
2020-11-05,Delhi,Economy
2020-08-13,Hyderabad,Economy
2020-06-24,Delhi,Election
2020-07-27,Mumbai,Social Issues
2019-08-13,Mumbai,Natural Calamity
2020-10-01,Bangalore,Social Issues
2022-12-16,Kolkata,Social Issues
2022-08-05,Lucknow,Economy
2021-09-23,Mumbai,Economy
2020-05-07,Delhi,Social Issues
2018-08-14,Hyderabad,Economy
2018-08-21,Delhi,Election
2022-01-12,Ahmedabad,Natural Calamity
2022-03-09,Delhi,Election
2019-01-15,Hyderabad,Economy
2021-06-07,Bangalore,Health
2019-07-02,Delhi,Election
2020-09-09,Bangalore,Health
2020-01-20,Mumbai,Health
2020-06-10,Bangalore,Natural Calamity
2020-11-12,Mumbai,Health
2021-08-08,Mumbai,Economy
1970-01-05,Chennai,Economy
2020-03-29,Bangalore,Natural Calamity
2018-12-20,Mumbai,Economy
2020-10-05,Delhi,Election
2020-10-23,Mumbai,Health
2022-10-15,Mumbai,Economy
2021-05-11,Pune,Social Issues
2020-06-23,Pune,Economy
2022-09-01,Delhi,Election
2022-08-16,Mumbai,Economy
2020-02-04,Mumbai,Economy
2021-05-01,Mumbai,Economy
2021-10-14,Mumbai,Health
2017-04-06,Mumbai,Health
2017-07-31,Mumbai,Natural Calamity
2018-07-05,Mumbai,Social Issues
2022-06-04,Delhi,Economy
2021-05-21,Hyderabad,Social Issues
2021-02-25,Bangalore,Election
2016-11-22,Bangalore,Election
2021-10-21,Mumbai,Social Issues
2015-05-10,Hyderabad,Natural Calamity
2022-04-15,Bangalore,Health
2020-10-01,Mumbai,Social Issues
2020-04-22,Bangalore,Health
2020-03-05,Hyderabad,Natural Calamity
2020-02-18,Bangalore,Economy
2017-06-12,Delhi,Health
2021-09-23,Jaipur,Election
2021-02-01,Delhi,Health
2016-03-29,Hyderabad,Election
2021-09-10,Hyderabad,Natural Calamity
2021-01-31,Chennai,Social Issues
2019-03-11,Delhi,Election
2019-05-09,Hyderabad,Natural Calamity
2020-07-05,Delhi,Election
